Pais;Taxa_Homi;Pobreza;Inves_Educa
Afeganistão;6.55;35.8;19
Albânia;2.28;14.3;88
Alemanha;0.85;16.7;1795
Angola;9.65;40.5;95
Argélia;1.37;23;146
Argentina;6.53;32.2;640
Arménia;2.45;32;88
Áustria;0.51;4;2176
Azerbaijão;2.45;4.9;101
Belize;34.4;41;312
Bielorrússia;3.58;5.7;245
Bolívia;12.4;38.6;173
Brasil;26.74;3.7;495
Bulgária;1.8;22;236
Butão;2.75;13.3;195
Cabo Verde;8.84;30;150
Camarões;5.93;30;40
Canadá;1.68;9.4;1978
Chile;3.59;14.4;664
China;0.74;3.3;15
Colômbia;26.5;27.8;248
Comores;7.6;44.8;29
Coreia do Sul;0.74;12.5;1282
Costa do Marfim;11.84;46.3;59
Costa Rica;11.77;21.7;768
Croácia;0.87;19.5;470
Dinamarca;0.99;13.4;3596
Domínica;8.4;29;223
Equador;8.23;25.6;275
Eslovénia;1.21;14.3;923
Espanha;0.66;21.1;997
Estados Unidos;4.88;15.1;2066
Estónia;3.2;21.3;819
Etiópia;7.6;29.6;31
Fiji;2.97;31;142
Filipinas;9.84;21.6;35
França;1.58;14;1803
Gabão;9;34.3;195
Gâmbia;9.07;48.4;13
Gana;1.7;24.2;82
Granada;7.52;38;918
Grécia;0.85;36;717
Guatemala;31.21;59.3;111
Guiana;19.42;35;0
Guiné-Bissau;9.17;67;11
Haiti;10.04;58.5;17
Honduras;63.75;29.6;131
Hungria;1.48;14.9;517
Índia;3.21;21.9;44
Indonésia;0.5;10.9;109
Irlanda;0.64;8.2;2107
Israel;1.36;22;1901
Itália;0.78;29.9;1110
Jamaica;43.21;16.5;238
Japão;0.31;16.1;1218
Jordânia;2;14.2;132
Laos;6.87;22;46
Lesoto;38;57;71
Letónia;4.11;25.5;656
Líbano;3.95;28.6;24
Libéria;3.22;54.1;150
Lituânia;5.98;22.2;544
Madagáscar;0.62;70.7;9
Malásia;1.92;3.8;410
Maldivas;0.85;16;378
Mali;10.82;36.1;26
Marrocos;1.05;15;151
Maurícia;2.71;8;466
Mauritânia;10.22;31;26
México;16.35;46.2;456
Nepal;2.27;25.2;38
Nicarágua;11.49;29.6;86
Panamá;11.38;23;218
Paraguai;9.29;22.2;163
Peru;7.16;22.7;228
Polónia;0.74;17.6;539
Portugal;0.97;19;850
Reino Unido;0.92;15;2028
República Checa;0.75;9.7;926
República Dominicana;17.39;30.5;181
Ruanda;4.51;39.1;21
Rússia;11.31;13.3;319
Senegal;7.3;46.7;73
Serra Leoa;1.92;70.2;21
Síria;2.23;82.5;94
Sudão;6.45;46.5;22
Suécia;1.15;15;3459
Suíça;0.69;6.6;3777
Tailândia;3.51;7.2;191
Tanzânia;7.01;22.8;24
Togo;9.14;55.1;27
Tonga;0.95;24;77
Tunísia;3.05;15.5;228
Ucrânia;4.36;24.1;100
Uganda;11.84;19.7;14
Uruguai;8.42;9.7;440
Venezuela;57.15;19.7;416
Vietname;1.52;11.3;81
Zâmbia;5.85;60.5;10
