splist;velocidade;produtividade;salinidade;temperatura;Nivel trofico
Carangoides_bartholomaei;0.297494716;0.001153317;36.02494734;26.89183551;4.5
Caranx_caninus;0.119362518;0.019718134;33.20662981;26.86765592;3.9
Caranx_crysus;0.263863947;0.00212475;35.79423578;26.90149389;4.13
Caranx_heberi;0.264949777;0.02037517;34.47228675;25.92764783;3.7
Caranx_hippos;0.296940624;0.001534706;35.97160547;26.81335109;3.73
Caranx_ignobilis;0.122013173;0.008049253;34.52935813;27.01523865;4.2
Caranx_latus;0.299861349;0.001172128;36.02085829;26.88859893;3.85
Caranx_lugubris;0.283310168;0.001253127;35.99337591;26.84447669;4.5
Caranx_papuensis;0.129749176;0.008090841;34.47788836;27.24850585;4
Caranx_ruber;0.285810594;0.001102408;36.00369058;26.95518041;4.3
Caranx_sexfasciatus;0.135721845;0.01120985;33.96797242;26.97290316;4.5
Caranx_tille;0.107614641;0.010986509;33.87900165;27.42316743;4.1
Caranx_vinctus;0.108258764;0.015013987;33.20841744;26.32452122;3.7
